Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
11,20,RL,70.0,11200,Pave,,Reg,Lvl,AllPub,Inside,3,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,,0.0,0,0,CBlock,0,0,1.0,3.0,906,1.0,0,134,1040,GasA,0,Y,SBrkr,1040,0,0,1040,1,0,1,0,3,1,0,5,8,0,0,Detchd,1965.0,1.0,1,384,0,0,2,0,0,0,0,0,0,0,0,,0,2,2008,WD,Normal,11.771443882099636
12,60,RL,85.0,11924,Pave,,IR1,Lvl,AllPub,Inside,3,NridgHt,Norm,Norm,1Fam,2Story,9,5,2005,2006,Hip,CompShg,WdShing,Wd Shng,Stone,286.0,0,0,PConc,0,0,1.0,6.0,998,1.0,0,177,1175,GasA,0,Y,SBrkr,1182,1142,0,2324,1,0,3,0,4,1,0,11,8,2,0,BuiltIn,2005.0,3.0,3,736,0,0,2,147,21,0,0,0,0,0,0,,0,7,2006,New,Partial,12.75130259456002
13,20,RL,71.0,12968,Pave,,IR2,Lvl,AllPub,Inside,3,Sawyer,Norm,Norm,1Fam,1Story,5,6,1962,1962,Hip,CompShg,HdBoard,Plywood,,0.0,0,0,CBlock,0,0,1.0,5.0,737,1.0,0,175,912,GasA,0,Y,SBrkr,912,0,0,912,1,0,1,0,2,1,0,4,8,0,0,Detchd,1962.0,1.0,1,352,0,0,2,140,0,0,0,176,0,0,0,,0,9,2008,WD,Normal,11.87757552297847
14,20,RL,91.0,10652,Pave,,IR1,Lvl,AllPub,Inside,3,CollgCr,Norm,Norm,1Fam,1Story,7,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,Stone,306.0,0,0,PConc,0,0,3.0,1.0,0,1.0,0,1494,1494,GasA,0,Y,SBrkr,1494,0,0,1494,0,0,2,0,3,1,0,7,8,1,0,Attchd,2006.0,2.0,3,840,0,0,2,160,33,0,0,0,0,0,0,,0,8,2007,New,Partial,12.54076114938842
15,20,RL,73.0,10920,Pave,,IR1,Lvl,AllPub,Corner,3,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,1960,Hip,CompShg,MetalSd,MetalSd,BrkFace,212.0,0,0,CBlock,0,0,1.0,4.0,733,1.0,0,520,1253,GasA,0,Y,SBrkr,1253,0,0,1253,1,0,1,1,2,1,0,5,8,1,0,Attchd,1960.0,2.0,1,352,0,0,2,0,213,176,0,0,0,0,2,,0,5,2008,WD,Normal,11.964007453736912
16,45,RM,51.0,6120,Pave,,Reg,Lvl,AllPub,Corner,3,BrkSide,Norm,Norm,1Fam,1.5Unf,7,8,1929,2001,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,0,0,BrkTil,0,0,1.0,1.0,0,1.0,0,832,832,GasA,0,Y,FuseA,854,0,0,854,0,0,1,0,2,1,0,5,8,0,0,Detchd,1991.0,1.0,2,576,0,0,2,48,112,0,0,0,0,0,4,,0,7,2007,WD,Normal,11.790564777297387
17,20,RL,73.0,11241,Pave,,IR1,Lvl,AllPub,CulDSac,3,NAmes,Norm,Norm,1Fam,1Story,6,7,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180.0,0,0,CBlock,0,0,1.0,5.0,578,1.0,0,426,1004,GasA,0,Y,SBrkr,1004,0,0,1004,1,0,1,0,2,1,0,5,8,1,0,Attchd,1970.0,3.0,2,480,0,0,2,0,0,0,0,0,0,0,0,Shed,700,3,2010,WD,Normal,11.91170829631447
18,90,RL,72.0,10791,Pave,,Reg,Lvl,AllPub,Inside,3,Sawyer,Norm,Norm,Duplex,1Story,4,5,1967,1967,Gable,CompShg,MetalSd,MetalSd,,0.0,0,0,Slab,0,0,None,None,0,None,0,0,0,GasA,0,Y,SBrkr,1296,0,0,1296,0,0,2,0,2,2,0,6,8,0,0,CarPort,1967.0,1.0,2,516,0,0,2,0,0,0,0,0,0,0,0,Shed,500,10,2006,WD,Normal,11.407576060361786
19,20,RL,66.0,13695,Pave,,Reg,Lvl,AllPub,Inside,3,SawyerW,RRAe,Norm,1Fam,1Story,5,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,,0.0,0,0,PConc,0,0,1.0,6.0,646,1.0,0,468,1114,GasA,0,Y,SBrkr,1114,0,0,1114,1,0,1,1,3,1,0,6,8,0,0,Detchd,2004.0,1.0,2,576,0,0,2,0,102,0,0,0,0,0,0,,0,6,2008,WD,Normal,11.976665770490769
20,20,RL,70.0,7560,Pave,,Reg,Lvl,AllPub,Inside,3,NAmes,Norm,Norm,1Fam,1Story,5,6,1958,1965,Hip,CompShg,BrkFace,Plywood,,0.0,0,0,CBlock,0,0,1.0,2.0,504,1.0,0,525,1029,GasA,0,Y,SBrkr,1339,0,0,1339,0,0,1,0,3,1,0,6,7,0,0,Attchd,1958.0,1.0,1,294,0,0,2,0,0,0,0,0,0,0,3,,0,5,2009,COD,Abnorml,11.842236406331557
21,60,RL,101.0,14215,Pave,,IR1,Lvl,AllPub,Corner,3,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,380.0,0,0,PConc,0,0,3.0,1.0,0,1.0,0,1158,1158,GasA,0,Y,SBrkr,1158,1218,0,2376,0,0,3,1,4,1,0,9,8,1,0,BuiltIn,2005.0,2.0,3,853,0,0,2,240,154,0,0,0,0,0,0,,0,11,2006,New,Partial,12.692506186542175
22,45,RM,57.0,7449,Pave,Grvl,Reg,Bnk,AllPub,Inside,3,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,7,1930,1950,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,0,0,PConc,0,0,1.0,1.0,0,1.0,0,637,637,GasA,0,Y,FuseF,1108,0,0,1108,0,0,1,0,3,1,0,6,8,1,0,Attchd,1930.0,1.0,1,280,0,0,0,0,0,205,0,0,0,0,4,,0,6,2007,WD,Normal,11.84510995088398
23,20,RL,75.0,9742,Pave,,Reg,Lvl,AllPub,Inside,3,CollgCr,Norm,Norm,1Fam,1Story,8,5,2002,2002,Hip,CompShg,VinylSd,VinylSd,BrkFace,281.0,0,0,PConc,0,0,1.0,1.0,0,1.0,0,1777,1777,GasA,0,Y,SBrkr,1795,0,0,1795,0,0,2,0,3,1,0,7,8,1,0,Attchd,2002.0,2.0,2,534,0,0,2,171,159,0,0,0,0,0,0,,0,9,2008,WD,Normal,12.345838935721968
24,120,RM,44.0,4224,Pave,,Reg,Lvl,AllPub,Inside,3,MeadowV,Norm,Norm,TwnhsE,1Story,5,7,1976,1976,Gable,CompShg,CemntBd,CmentBd,,0.0,0,0,PConc,0,0,1.0,6.0,840,1.0,0,200,1040,GasA,0,Y,SBrkr,1060,0,0,1060,1,0,1,0,3,1,0,6,8,1,0,Attchd,1976.0,1.0,2,572,0,0,2,100,110,0,0,0,0,0,0,,0,6,2007,WD,Normal,11.774527900858468
25,20,RL,71.0,8246,Pave,,IR1,Lvl,AllPub,Inside,3,Sawyer,Norm,Norm,1Fam,1Story,5,8,1968,2001,Gable,CompShg,Plywood,Plywood,,0.0,0,0,CBlock,0,0,2.0,3.0,188,5.0,668,204,1060,GasA,0,Y,SBrkr,1060,0,0,1060,1,0,1,0,3,1,0,6,8,1,0,Attchd,1968.0,1.0,1,270,0,0,2,406,90,0,0,0,0,0,3,,0,5,2010,WD,Normal,11.944714374881176
26,20,RL,110.0,14230,Pave,,Reg,Lvl,AllPub,Corner,3,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,Stone,640.0,0,0,PConc,0,0,1.0,1.0,0,1.0,0,1566,1566,GasA,0,Y,SBrkr,1600,0,0,1600,0,0,2,0,3,1,0,7,8,1,0,Attchd,2007.0,2.0,3,890,0,0,2,0,56,0,0,0,0,0,0,,0,7,2009,WD,Normal,12.454107814022272
27,20,RL,60.0,7200,Pave,,Reg,Lvl,AllPub,Corner,3,NAmes,Norm,Norm,1Fam,1Story,5,7,1951,2000,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,0,0,CBlock,0,0,2.0,4.0,234,3.0,486,180,900,GasA,0,Y,SBrkr,900,0,0,900,0,1,1,0,3,1,0,5,8,0,0,Detchd,2005.0,1.0,2,576,0,0,2,222,32,0,0,0,0,0,0,,0,5,2010,WD,Normal,11.811554895830454
28,20,RL,98.0,11478,Pave,,Reg,Lvl,AllPub,Inside,3,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,200.0,0,0,PConc,0,0,1.0,6.0,1218,1.0,0,486,1704,GasA,0,Y,SBrkr,1704,0,0,1704,1,0,2,0,3,1,0,7,8,1,0,Attchd,2008.0,2.0,3,772,0,0,2,0,50,0,0,0,0,0,0,,0,5,2010,WD,Normal,12.631343648903034
29,20,RL,47.0,16321,Pave,,IR1,Lvl,AllPub,CulDSac,3,NAmes,Norm,Norm,1Fam,1Story,5,6,1957,1997,Gable,CompShg,MetalSd,MetalSd,,0.0,0,0,CBlock,0,0,4.0,4.0,1277,1.0,0,207,1484,GasA,0,Y,SBrkr,1600,0,0,1600,1,0,1,0,2,1,0,6,8,2,0,Attchd,1957.0,2.0,1,319,0,0,2,288,258,0,0,0,0,0,0,,0,12,2006,WD,Normal,12.242891437918386
30,30,RM,60.0,6324,Pave,,IR1,Lvl,AllPub,Inside,3,BrkSide,Feedr,RRNn,1Fam,1Story,4,6,1927,1950,Gable,CompShg,MetalSd,MetalSd,,0.0,0,0,BrkTil,0,0,1.0,1.0,0,1.0,0,520,520,GasA,0,N,SBrkr,520,0,0,520,0,0,1,0,1,1,0,4,8,0,0,Detchd,1920.0,1.0,1,240,0,0,2,49,0,87,0,0,0,0,0,,0,5,2008,WD,Normal,11.134603622683905
31,70,C (all),50.0,8500,Pave,Pave,Reg,Lvl,AllPub,Inside,3,IDOTRR,Feedr,Norm,1Fam,2Story,4,4,1920,1950,Gambrel,CompShg,BrkFace,BrkFace,,0.0,0,0,BrkTil,0,0,1.0,1.0,0,1.0,0,649,649,GasA,0,N,SBrkr,649,668,0,1317,0,0,1,0,3,1,0,6,8,0,0,Detchd,1920.0,1.0,1,250,0,0,0,0,54,172,0,0,0,0,3,,0,7,2008,WD,Normal,10.59665973278358
32,20,RL,71.0,8544,Pave,,IR1,Lvl,AllPub,CulDSac,3,Sawyer,Norm,Norm,1Fam,1Story,5,6,1966,2006,Gable,CompShg,HdBoard,HdBoard,,0.0,0,0,CBlock,0,0,1.0,1.0,0,1.0,0,1228,1228,GasA,0,Y,SBrkr,1228,0,0,1228,0,0,1,1,3,1,0,6,8,0,0,Attchd,1966.0,1.0,1,271,0,0,2,0,65,0,0,0,0,0,3,,0,6,2008,WD,Normal,11.914054519303123
33,20,RL,85.0,11049,Pave,,Reg,Lvl,AllPub,Corner,3,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,,0.0,0,0,PConc,0,0,3.0,1.0,0,1.0,0,1234,1234,GasA,0,Y,SBrkr,1234,0,0,1234,0,0,2,0,3,1,0,7,8,0,0,Attchd,2007.0,2.0,2,484,0,0,2,0,30,0,0,0,0,0,0,,0,1,2008,WD,Normal,12.100161978566868
34,20,RL,70.0,10552,Pave,,IR1,Lvl,AllPub,Inside,3,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,BrkFace,BrkFace,,0.0,0,0,CBlock,0,0,1.0,3.0,1018,1.0,0,380,1398,GasA,0,Y,SBrkr,1700,0,0,1700,0,1,1,1,4,1,0,6,8,1,0,Attchd,1959.0,2.0,2,447,0,0,2,0,38,0,0,0,0,0,0,,0,4,2010,WD,Normal,12.016732516077072
35,120,RL,60.0,7313,Pave,,Reg,Lvl,AllPub,Inside,3,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,246.0,0,0,PConc,0,0,1.0,6.0,1153,1.0,0,408,1561,GasA,0,Y,SBrkr,1561,0,0,1561,1,0,2,0,2,1,0,6,8,1,0,Attchd,2005.0,3.0,2,556,0,0,2,203,47,0,0,0,0,0,0,,0,8,2007,WD,Normal,12.533579815765735
36,60,RL,108.0,13418,Pave,,Reg,Lvl,AllPub,Inside,3,NridgHt,Norm,Norm,1Fam,2Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,132.0,0,0,PConc,0,0,3.0,1.0,0,1.0,0,1117,1117,GasA,0,Y,SBrkr,1132,1320,0,2452,0,0,3,1,4,1,0,9,8,1,0,BuiltIn,2004.0,3.0,3,691,0,0,2,113,32,0,0,0,0,0,0,,0,9,2006,WD,Normal,12.6410997921206
37,20,RL,112.0,10859,Pave,,Reg,Lvl,AllPub,Corner,3,CollgCr,Norm,Norm,1Fam,1Story,5,5,1994,1995,Gable,CompShg,VinylSd,VinylSd,,0.0,0,0,PConc,0,0,1.0,1.0,0,1.0,0,1097,1097,GasA,0,Y,SBrkr,1097,0,0,1097,0,0,1,1,3,1,0,6,8,0,0,Attchd,1995.0,1.0,2,672,0,0,2,392,64,0,0,0,0,0,0,,0,6,2009,WD,Normal,11.884495917930655
38,20,RL,74.0,8532,Pave,,Reg,Lvl,AllPub,Inside,3,NAmes,Norm,Norm,1Fam,1Story,5,6,1954,1990,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,650.0,0,0,CBlock,0,0,1.0,3.0,1213,1.0,0,84,1297,GasA,0,Y,SBrkr,1297,0,0,1297,0,1,1,0,3,1,0,5,8,1,0,Attchd,1954.0,3.0,2,498,0,0,2,0,0,0,0,0,0,0,0,,0,10,2009,WD,Normal,11.938199736300923
39,20,RL,68.0,7922,Pave,,Reg,Lvl,AllPub,Inside,3,NAmes,Norm,Norm,1Fam,1Story,5,7,1953,2007,Gable,CompShg,VinylSd,VinylSd,,0.0,0,0,CBlock,0,0,1.0,6.0,731,1.0,0,326,1057,GasA,0,Y,SBrkr,1057,0,0,1057,1,0,1,0,3,1,0,5,8,0,0,Detchd,1953.0,1.0,1,246,0,0,2,0,52,0,0,0,0,0,0,,0,1,2010,WD,Abnorml,11.599112335481124
40,90,RL,65.0,6040,Pave,,Reg,Lvl,AllPub,Inside,3,Edwards,Norm,Norm,Duplex,1Story,4,5,1955,1955,Gable,CompShg,AsbShng,Plywood,,0.0,0,0,PConc,0,0,None,None,0,None,0,0,0,GasA,0,N,FuseP,1152,0,0,1152,0,0,2,0,2,2,0,6,8,0,0,,0.0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,6,2008,WD,AdjLand,11.31448672129398
41,20,RL,84.0,8658,Pave,,Reg,Lvl,AllPub,Inside,3,NAmes,Norm,Norm,1Fam,1Story,6,5,1965,1965,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,101.0,0,0,CBlock,0,0,1.0,3.0,643,1.0,0,445,1088,GasA,0,Y,SBrkr,1324,0,0,1324,0,0,2,0,3,1,0,6,8,1,0,Attchd,1965.0,2.0,2,440,0,0,2,0,138,0,0,0,0,0,2,,0,12,2006,WD,Abnorml,11.982935344196433
42,20,RL,115.0,16905,Pave,,Reg,Lvl,AllPub,Inside,3,Timber,Norm,Norm,1Fam,1Story,5,6,1959,1959,Gable,CompShg,VinylSd,VinylSd,,0.0,0,0,CBlock,0,0,4.0,4.0,967,1.0,0,383,1350,GasA,0,Y,SBrkr,1328,0,0,1328,0,1,1,1,2,1,0,5,8,2,0,Attchd,1959.0,2.0,1,308,0,0,1,0,104,0,0,0,0,0,0,,0,7,2007,WD,Normal,12.04355959836804
43,85,RL,66.5,9180,Pave,,IR1,Lvl,AllPub,CulDSac,3,SawyerW,Norm,Norm,1Fam,SFoyer,5,7,1983,1983,Gable,CompShg,HdBoard,HdBoard,,0.0,0,0,CBlock,0,0,3.0,5.0,747,2.0,93,0,840,GasA,0,Y,SBrkr,884,0,0,884,1,0,1,0,2,1,0,5,8,0,0,Attchd,1983.0,2.0,2,504,0,0,2,240,0,0,0,0,0,0,3,,0,12,2007,WD,Normal,11.87757552297847
44,20,RL,70.0,9200,Pave,,IR1,Lvl,AllPub,CulDSac,3,CollgCr,Norm,Norm,1Fam,1Story,5,6,1975,1980,Hip,CompShg,VinylSd,VinylSd,,0.0,0,0,CBlock,0,0,3.0,2.0,280,4.0,491,167,938,GasA,0,Y,SBrkr,938,0,0,938,1,0,1,0,3,1,0,5,8,0,0,Detchd,1977.0,1.0,1,308,0,0,2,145,0,0,0,0,0,0,3,,0,7,2008,WD,Normal,11.777218637129328
45,20,RL,70.0,7945,Pave,,Reg,Lvl,AllPub,Inside,3,NAmes,Norm,Norm,1Fam,1Story,5,6,1959,1959,Gable,CompShg,BrkFace,Wd Sdng,,0.0,0,0,CBlock,0,0,1.0,5.0,179,4.0,506,465,1150,GasA,0,Y,FuseA,1150,0,0,1150,1,0,1,0,3,1,0,6,8,0,0,Attchd,1959.0,2.0,1,300,0,0,2,0,0,0,0,0,0,0,0,,0,5,2006,WD,Normal,11.856522261533735
46,120,RL,61.0,7658,Pave,,Reg,Lvl,AllPub,Inside,3,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,412.0,0,0,PConc,0,0,1.0,6.0,456,1.0,0,1296,1752,GasA,0,Y,SBrkr,1752,0,0,1752,1,0,2,0,2,1,0,6,8,1,0,Attchd,2005.0,2.0,2,576,0,0,2,196,82,0,0,0,0,0,0,,0,2,2010,WD,Normal,12.675766851909591
47,50,RL,48.0,12822,Pave,,IR1,Lvl,AllPub,CulDSac,3,Mitchel,Norm,Norm,1Fam,1.5Fin,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,,0.0,0,0,PConc,0,0,1.0,6.0,1351,1.0,0,83,1434,GasA,0,Y,SBrkr,1518,631,0,2149,1,0,1,1,1,1,0,6,8,1,0,Attchd,2003.0,2.0,2,670,0,0,2,168,43,0,0,198,0,0,0,,0,8,2009,WD,Abnorml,12.387089184491993
48,20,FV,84.0,11096,Pave,,Reg,Lvl,AllPub,Inside,3,Somerst,Norm,Norm,1Fam,1Story,8,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,,0.0,0,0,PConc,0,0,3.0,6.0,24,1.0,0,1632,1656,GasA,0,Y,SBrkr,1656,0,0,1656,0,0,2,0,3,1,0,7,8,0,0,Attchd,2006.0,2.0,3,826,0,0,2,0,146,0,0,0,0,0,0,,0,7,2007,WD,Normal,12.428019481065611
49,190,RM,33.0,4456,Pave,,Reg,Lvl,AllPub,Inside,3,OldTown,Norm,Norm,2fmCon,2Story,4,5,1920,2008,Gable,CompShg,MetalSd,MetalSd,,0.0,0,0,BrkTil,0,0,1.0,1.0,0,1.0,0,736,736,GasA,0,Y,SBrkr,736,716,0,1452,0,0,2,0,2,3,0,8,8,0,0,,0.0,None,0,0,0,0,0,0,0,102,0,0,0,0,0,,0,6,2009,New,Partial,11.635151947212842
50,20,RL,66.0,7742,Pave,,Reg,Lvl,AllPub,Inside,3,Sawyer,Norm,Norm,1Fam,1Story,5,7,1966,1966,Gable,CompShg,HdBoard,HdBoard,,0.0,0,0,CBlock,0,0,1.0,4.0,763,1.0,0,192,955,GasA,0,Y,SBrkr,955,0,0,955,1,0,1,0,3,1,0,6,8,0,0,Attchd,1966.0,1.0,1,386,0,0,2,0,0,0,0,0,0,0,3,,0,1,2007,WD,Normal,11.751950239425476
51,60,RL,65.0,13869,Pave,,IR2,Lvl,AllPub,Corner,3,Gilbert,Norm,Norm,1Fam,2Story,6,6,1997,1997,Gable,CompShg,VinylSd,VinylSd,,0.0,0,0,PConc,0,0,3.0,6.0,182,1.0,0,612,794,GasA,0,Y,SBrkr,794,676,0,1470,0,1,2,0,3,1,0,6,8,0,0,Attchd,1997.0,3.0,2,388,0,0,2,0,75,0,0,0,0,0,0,,0,7,2007,WD,Normal,12.08391066125752
52,50,RM,52.0,6240,Pave,,Reg,Lvl,AllPub,Inside,3,BrkSide,Norm,Norm,1Fam,1.5Fin,6,6,1934,1950,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,0,0,PConc,0,0,1.0,1.0,0,1.0,0,816,816,GasA,0,Y,SBrkr,816,0,360,1176,0,0,1,0,3,1,0,6,8,1,0,Detchd,1985.0,1.0,2,528,0,0,2,112,0,0,0,0,0,0,3,Shed,400,9,2006,WD,Normal,11.648338835562749
